"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to check incorrect booking code","1","incorrect booking Test","tests","Thu Aug 21 08:58:37 UTC 2025","broken","Thu Aug 21 08:58:37 UTC 2025","TestClass","sign_in_test","",""
"Test to choose departure date","11265","departure date selection Test","tests","Thu Aug 21 08:56:40 UTC 2025","broken","Thu Aug 21 08:56:51 UTC 2025","TestClass","mainpage_test","",""
"test to order premium ticket","11263","premium class ticket selection Test","tests","Thu Aug 21 08:57:52 UTC 2025","broken","Thu Aug 21 08:58:03 UTC 2025","TestClass","mainpage_test","",""
"Test to check links on the main page","20585","Links check Test","tests","Thu Aug 21 08:55:17 UTC 2025","broken","Thu Aug 21 08:55:37 UTC 2025","TestClass","mainpage_test","",""
"Test to order economy ticket","14275","economy ticket order Test","tests","Thu Aug 21 08:57:37 UTC 2025","broken","Thu Aug 21 08:57:51 UTC 2025","TestClass","mainpage_test","",""
"Test to check trip ticket","16304","trip ticket selection Test","tests","Thu Aug 21 08:55:37 UTC 2025","failed","Thu Aug 21 08:55:54 UTC 2025","TestClass","mainpage_test","",""
"Test to order business class ticket","11265","business class ticket selection Test","tests","Thu Aug 21 08:58:03 UTC 2025","broken","Thu Aug 21 08:58:14 UTC 2025","TestClass","mainpage_test","",""
"Test to check class","11266","class ticket selection Test","tests","Thu Aug 21 08:55:54 UTC 2025","broken","Thu Aug 21 08:56:05 UTC 2025","TestClass","mainpage_test","",""
"Test to choose departure and return dates","11262","departure and return dates selection Test","tests","Thu Aug 21 08:57:03 UTC 2025","broken","Thu Aug 21 08:57:14 UTC 2025","TestClass","mainpage_test","",""
"Test to order first class ticket","11264","Order first class ticket Test","tests","Thu Aug 21 08:57:26 UTC 2025","broken","Thu Aug 21 08:57:37 UTC 2025","TestClass","mainpage_test","",""
"Test to check country change","1","Country Change Test","tests","Thu Aug 21 08:54:27 UTC 2025","broken","Thu Aug 21 08:54:27 UTC 2025","TestClass","currency_test","",""
"Test to check cookie customization and retrieval","49306","Cookie Customization Test","tests","Thu Aug 21 08:54:27 UTC 2025","failed","Thu Aug 21 08:55:17 UTC 2025","TestClass","mainpage_test","",""
"Test to choose cancel departure and return dates","11264","cancel departure and return dates selection Test","tests","Thu Aug 21 08:57:14 UTC 2025","broken","Thu Aug 21 08:57:26 UTC 2025","TestClass","mainpage_test","",""
"Test to number of passengers","12278","passengers ticket selection Test","tests","Thu Aug 21 08:56:05 UTC 2025","failed","Thu Aug 21 08:56:17 UTC 2025","TestClass","mainpage_test","",""
"Test to check signup with wrong format email","0","wrong format signup Test","tests","Thu Aug 21 08:58:37 UTC 2025","broken","Thu Aug 21 08:58:37 UTC 2025","TestClass","sign_in_test","",""
"Test to check coin change","1","Coin Change Test","tests","Thu Aug 21 08:54:27 UTC 2025","broken","Thu Aug 21 08:54:27 UTC 2025","TestClass","currency_test","",""
"Test to check switch origin and destination","11265","switching location selection Test","tests","Thu Aug 21 08:58:14 UTC 2025","broken","Thu Aug 21 08:58:26 UTC 2025","TestClass","mainpage_test","",""
"Test to select multiple cities","10266","Multiple cities selection Test","tests","Thu Aug 21 08:58:26 UTC 2025","broken","Thu Aug 21 08:58:36 UTC 2025","TestClass","mainpage_test","",""
"Test to choose destination","11267","Destination selection Test","tests","Thu Aug 21 08:56:29 UTC 2025","broken","Thu Aug 21 08:56:40 UTC 2025","TestClass","mainpage_test","",""
"Test to check failed sign up with incorrect email","1","failed signup Test","tests","Thu Aug 21 08:58:37 UTC 2025","broken","Thu Aug 21 08:58:37 UTC 2025","TestClass","sign_in_test","",""
"Test to choose return date","11267","return date selection Test","tests","Thu Aug 21 08:56:52 UTC 2025","broken","Thu Aug 21 08:57:03 UTC 2025","TestClass","mainpage_test","",""
"Test to choose origin","11267","origin selection Test","tests","Thu Aug 21 08:56:17 UTC 2025","broken","Thu Aug 21 08:56:29 UTC 2025","TestClass","mainpage_test","",""
